COC(=O)c1ccc(S(=O)(=O)N2CCS(=O)(=O)[C@@H](C(=O)[O-])C2)s1,ZINC000424364137
Cc1ccc(NC(=S)N2C[C@]3(F)CN(C)C(=O)[C@]3(F)C2)cc1Cl,ZINC001279136283
Cc1ccc(C(=O)N2CCC[C@@H]2CN(C)Cc2cncn2C)o1,ZINC000960387210
Cc1ccc(N2CCNC2=O)cc1N1C(=O)CN(C2CC2)C1=O,ZINC000804253760
C=CCN(Cc1cccc(C#N)c1)C(=O)NC[C@@H]1CCCS1,ZINC000127217573
COCc1nc(NC[C@@H](C)Cn2cccn2)cc(=O)[n-]1,ZINC000891863379
CCNC(=O)COc1ccc(CNc2ccccc2-n2nc(C)cc2C)cc1OC,ZINC000535845382
CC[NH2+]CCCNC(=O)N(Cc1cccnc1)C(C)C,ZINC000521842959
CCC(CC)[C@@H](CC)OCc1cccc(S(N)(=O)=O)c1,ZINC001222758299
C[C@@H]1C[N@H+](C)C[C@H](C(=O)N2CCO[C@H](C[NH2+]Cc3cccc(F)c3)C2)O1,ZINC001051680012
CCOC(=O)C[C@H](NC(=O)[C@@H]1CCN(C(=O)CC)C1)c1ccccc1,ZINC000269420939
O=C(Cn1cc(CO)nn1)NCc1cccc([C@@H]2NC(=O)N[C@H]3OCCC[C@@H]23)c1,ZINC000257313376
CC(=O)[C@@H](OC(=O)c1ccc([C@H]2CCCOC2)cc1)C(C)C,ZINC000828993461
COc1cccc(COC(=O)c2cccc(F)c2Br)n1,ZINC000814507992
Cc1cc(N2CCC[C@H](NC(=O)[C@H]3CCn4cncc4C3)C2=O)n(C)n1,ZINC000328959500
CCC(CC)N(CCOC)C(=O)Nc1cc(F)ccc1C,ZINC000102951659
CN(CCNC(=O)C1CC=CC1)C(=O)c1noc2c1COCC2,ZINC001758921374
CCCOCC(=O)N1CC(O)(CNC(=O)[C@@]2(C)CNC(=O)C2)C1,ZINC001043942761
O=C([O-])[C@@H](OC(=O)CN1C(=O)[C@@H]2CCCC[C@H]2C1=O)c1ccccc1F,ZINC000833105898
CN(CCO)C(=O)CCc1ccc(OC(F)(F)F)cc1,ZINC000269529081
COC[C@@H](C)CC(=O)OCC(=O)Nc1c(-c2nn[nH]n2)cnn1-c1ccccc1,ZINC000821681883
CCC[C@H]1C[C@H](C(=O)NCCCNc2ccccn2)CCO1,ZINC000183782305
CC[N@H+]1CC[C@@H](N(C)S(=O)(=O)c2cccnc2C(F)(F)F)C[C@H]1C,ZINC000561519578
COCc1cc(N2CCC[C@@H]2CCNC(=O)[C@H]2CC2(C)C)ncn1,ZINC001103728350
CC(C)CC(=O)NC[C@@H](CO)NC(=O)c1occ2c1CCOC2,ZINC001370647579
N#CC[C@]1(O)CCN(C(=O)c2ccc(=O)[nH]c2)C1,ZINC000592842887
COc1cccc([C@H]2CN(C(=O)c3ccc(C(C)C)cn3)CCN2)c1,ZINC000870152544
CC(C)[C@@](C)(C#N)NC(=O)CCc1ccc2c(c1)OC(F)(F)O2,ZINC000593952295
C[C@@H]1C[C@@H](NC(=O)c2ccc3oc(=O)[nH]c3c2)CN1C(=O)C(C)(C)F,ZINC001012157292
CC[C@H]1CN(C(=O)CN2CCOCC2)CCN1Cc1ccccc1,ZINC000274155508
CC(C)(C)Cc1csc(NC(=O)c2cccc(CC(=O)[O-])c2)n1,ZINC001589788779
O=C(c1cc(-c2ccc(F)cc2)on1)N1C[C@H]2CC[N@H+](Cc3ccccc3)C[C@@H]2C1,ZINC000461449192
CN1C[C@H](NC(=O)CN2Cc3ccccc3C2=O)CCC1=O,ZINC000265718154
O=C(NCCc1cnc(=O)[nH]c1)[C@H]1CCCc2sccc21,ZINC000899699419
CC(C)[C@@H](CO)NC(=O)[C@H]1CCO[C@@H]1C[NH3+],ZINC000662833811
CCOc1ccc(C(=O)N2CCCCC2)cc1NC(=O)C(C)C,ZINC000175483722
OCCO[C@@H]1CCCN(Cc2cc(Cl)c3c(c2)OCCCO3)C1,ZINC000265251342
C[C@H](Nc1ccc(OCC(F)F)cc1)C(=O)NC(N)=O,ZINC000748267401
COC(=O)CN(c1ccc2c(c1)OCCO2)S(=O)(=O)c1ccc(OC)c(C)c1,ZINC000224650754
COCOc1ccc(OC)cc1C[N@@H+]1CCC[C@@H]1c1cccc(F)c1,ZINC000768329799
COC(=O)c1ccc(N2CC(C(C)C)C2)nn1,ZINC000596173718
CNS(=O)(=O)[C@H]1CCCN(c2nc(N)nc3c2cnn3C)C1,ZINC000572975184
